symbol,yahoo_symbol,name,series,isin,listed_on
ASHOKA,ASHOKA.NS,Ashoka Buildcon Limited,EQ,INE442H01029,14-OCT-2010
ASHOKAMET,ASHOKAMET.NS,Ashoka Metcast Limited,EQ,INE760Y01011,27-JUN-2023
ASHOKLEY,ASHOKLEY.NS,Ashok Leyland Limited,EQ,INE208A01029,25-MAY-1995
ASIANENE,ASIANENE.NS,Asian Energy Services Limited,EQ,INE276G01015,09-DEC-2021
ASIANHOTNR,ASIANHOTNR.NS,Asian Hotels (North) Limited,EQ,INE363A01022,07-APR-2010
ASIANPAINT,ASIANPAINT.NS,Asian Paints Limited,EQ,INE021A01026,31-MAY-1995
ASIANTILES,ASIANTILES.NS,Asian Granito India Limited,EQ,INE022I01019,23-AUG-2007
ASKAUTOLTD,ASKAUTOLTD.NS,ASK Automotive Limited,EQ,INE491J01022,15-NOV-2023
ASMS,ASMS.NS,Bartronics India Limited,EQ,INE855F01042,09-FEB-2023
ASPINWALL,ASPINWALL.NS,Aspinwall and Company Limited,EQ,INE991I01015,14-JUN-2016
ASTAR,ASTAR.NS,Asian Star Company Limited,EQ,INE194D01017,20-APR-2026
ASTEC,ASTEC.NS,Astec LifeSciences Limited,EQ,INE563J01010,25-NOV-2009
ASTERDM,ASTERDM.NS,Aster DM Healthcare Limited,EQ,INE914M01019,26-FEB-2018
ASTRAL,ASTRAL.NS,Astral Limited,EQ,INE006I01046,20-MAR-2007
ASTRAMICRO,ASTRAMICRO.NS,Astra Microwave Products Limited,EQ,INE386C01029,01-NOV-2004
ASTRAZEN,ASTRAZEN.NS,AstraZeneca Pharma India Limited,EQ,INE203A01020,04-MAY-2001
ASTRON,ASTRON.NS,Astron Paper & Board Mill Limited,BE,INE646X01014,29-DEC-2017
ATALREAL,ATALREAL.NS,Atal Realtech Limited,EQ,INE0ALR01029,12-MAY-2023
ATAM,ATAM.NS,Atam Valves Limited,EQ,INE09KD01013,10-MAY-2023
ATGL,ATGL.NS,Adani Total Gas Limited,EQ,INE399L01023,05-NOV-2018
ATHERENERG,ATHERENERG.NS,Ather Energy Limited,EQ,INE0LEZ01016,06-MAY-2025
ATL,ATL.NS,Allcargo Terminals Limited,EQ,INE0NN701020,10-AUG-2023
ATLANTAA,ATLANTAA.NS,ATLANTAA LIMITED,EQ,INE285H01022,25-SEP-2006
ATLANTAELE,ATLANTAELE.NS,Atlanta Electricals Limited,EQ,INE0Z4F01028,29-SEP-2025
